visible	0 0 0 0 0.01 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0.01 0 0 0 0 0 0.04 0 0 0 0.01 0 3.89 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0
math	0 0 0 0.01 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0.08 0 0 0 0 0 0 0 0 0 0 0 0 4.78 0 0.48 0 0 0.57 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0
max	0 0.77 0 0 0 0 0 0 0 0 0 0 0.65 0 0 0 0 0 0 0 0.21 0 0 0 0 0.01 0 0.03 0 0 0 0.32 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
document	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.15 0.04 0 0 15.38 0 0.03 0 0 0 11.39 0 0 0 0 0 0 0 0.01 0 0 0
body	0 0.03 0 0.1 0 0.38 0 0.01 0 0.02 0 0 0.01 0 0 0 0 0 0 0 0.05 0 0 0 0 0.06 0 0 0 0.01 0 0.59 20.72 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0.01
typeof	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.27 0 0 0 0 0 0 0 0 0 0 0 0 0.16 0 0 0 0 0 27.57 0 0 0 0 0 0 0 0 0 0 0 0 0
object	0 0 0.04 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0.02 0 0.01 0.01 0 0 0 0 0.01 0 0 9.37 0.44 0 0 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.01
css	0 0 0 0 0 0 0 1.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12.23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
affixtype	0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
e	0 0 0 0 0.02 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 10.68 0 0 0 0 0 0 0 0 0 0 0 0 38.53 0 0 0 0 0 0 9.57 0 46.19 0 0 0 0 0 0
event	0 21.98 0.01 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
trigger	0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0.01 0 0 59.96 0 0 0 0 0 0 0 0 0 0 0 0 0
isdefaultprevented	0 0 0 0.01 0 0 0 3.69 0 0.07 0 0 0 0 0 0 0 0.09 8.87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.15 0.03 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0
replace	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 7.97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
plugin	0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.75 0 0 0 0 0 0 0 0 0 0 0 0 0.21 0 0 0 0 0 0 31 0 0 0 0 0 0 0 0 0 0 0
option	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31.32 0.04 0 0 0 0 0 0 20.67 0 0 0 0 0 0 0 0 8.97 0 0
each	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17.99 0 0 0 0 0 0 0 0 0 0 0 0 0
new	0 0 0.01 0 0 0.01 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0 0.01 10.88
string	0 0 0 0.02 0 0 0 0.01 0 0 0 0.01 0 0 3.31 0 0 0 7.72 0 0 0 0 0 0 0.01 0.01 0 0 0 0 0.89 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0 0
old	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21.98 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fn	0 0 0 0 0 0.01 0.02 0 0 0 0 0 3.92 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0.19 0 0 0 0 0.01 0 0 0 55.47 0 0 0 0 0 0 0.32 0 0.04 0 0
no	0 0.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01 0 0.03 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 10.92 0 0 0 0 0 0 0 0 0 0 0 0 0
conflict	0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 10.87 0.01 0 0 0.05 0.01 0 0 0.01 0 0 0 0 0
noconflict	0.01 0 0 0.01 0.01 0 0 0 0 0 0 0 0.49 0 0.01 0 0 0 0 0 0 0.07 0.07 0 0 0.02 0 0 0 0 0 0 0.01 0 0 0 0 0.01 10.19 0.01 0 0 0 0.04 0 0.03 0.02 0 0 0
load	0.01 0 0 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.96 0 0 0 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
spy	0 0 0 0 0 0 0 0 0 0 0 0 5.87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.25 0 0 0.01 0 0.87 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
call	0 0 0 0 0 0 0 0 0.01 0 0.01 0 0 0 0.01 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16.97 0 0 0 0 0 0 0 0 0 0 0 0 0
jquery	0 0 0 0 0 0 0.02 0 0 0 0 0 0 0 0 0 0.01 0 0 0 0 0 0.01 0 0 0 0 0.01 0 0 0 0 0.01 0 0.83 0 0 0 12.1 0 0 0 0 0 0 0 0.01 0 0 0
alert	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0
alerts	0.01 0.02 0 0 0 0 0 0.04 0 0 0 0 0 0.05 0 0 0 0 0.04 0 0 0 0 0 0 0 0 0 0 0 0.02 0 0 0 0 0 0.06 0 0.05 0 0 0 0.62 0.05 0 0 0 0 0 0.04
